timestamp,event_type,entity_id,details
2026-05-22T14:48:39.396173+00:00,RISK_SCORE,T000000,REVIEW risk_score=67.5
2026-05-22T14:48:39.396173+00:00,RISK_SCORE,T000001,REVIEW risk_score=67.5
2026-05-22T14:48:39.396173+00:00,RISK_SCORE,T000002,REVIEW risk_score=67.5
2026-05-22T14:48:39.396173+00:00,RISK_SCORE,T000003,REVIEW risk_score=66.1
2026-05-22T14:48:39.396173+00:00,RISK_SCORE,T000004,REVIEW risk_score=67.5
2026-05-22T14:48:39.396173+00:00,RISK_SCORE,T000005,REVIEW risk_score=67.5
2026-05-22T14:48:39.396173+00:00,RISK_SCORE,T000006,REVIEW risk_score=65.0
2026-05-22T14:48:39.396173+00:00,RISK_SCORE,T000007,REVIEW risk_score=67.5
2026-05-22T14:48:39.396173+00:00,RISK_SCORE,T000008,REVIEW risk_score=67.5
2026-05-22T14:48:39.396173+00:00,RISK_SCORE,T000009,REVIEW risk_score=67.5
2026-05-22T14:48:39.396173+00:00,RISK_SCORE,T000010,APPROVE risk_score=0.0
2026-05-22T14:48:39.396173+00:00,RISK_SCORE,T000011,APPROVE risk_score=0.0
2026-05-22T14:48:39.396173+00:00,RISK_SCORE,T000012,APPROVE risk_score=0.0
2026-05-22T14:48:39.396173+00:00,RISK_SCORE,T000013,APPROVE risk_score=0.0
2026-05-22T14:48:39.396173+00:00,RISK_SCORE,T000014,APPROVE risk_score=0.0
2026-05-22T14:48:39.396173+00:00,RISK_SCORE,T000015,REVIEW risk_score=41.0
2026-05-22T14:48:39.396173+00:00,RISK_SCORE,T000016,REVIEW risk_score=41.0
2026-05-22T14:48:39.396173+00:00,RISK_SCORE,T000017,REVIEW risk_score=41.0
2026-05-22T14:48:39.396173+00:00,RISK_SCORE,T000018,REVIEW risk_score=40.0
2026-05-22T14:48:39.396173+00:00,RISK_SCORE,T000019,REVIEW risk_score=40.0
2026-05-22T14:48:39.396173+00:00,RISK_SCORE,T000020,APPROVE risk_score=14.27
2026-05-22T14:48:39.396173+00:00,RISK_SCORE,T000021,APPROVE risk_score=0.0
2026-05-22T14:48:39.396173+00:00,RISK_SCORE,T000022,APPROVE risk_score=0.0
2026-05-22T14:48:39.396173+00:00,RISK_SCORE,T000023,REVIEW risk_score=40.0
2026-05-22T14:48:39.396173+00:00,RISK_SCORE,T000024,APPROVE risk_score=32.5
2026-05-22T14:48:39.396173+00:00,RISK_SCORE,T000025,APPROVE risk_score=32.5
2026-05-22T14:48:39.396173+00:00,RISK_SCORE,T000026,APPROVE risk_score=32.5
2026-05-22T14:48:39.396173+00:00,RISK_SCORE,T000027,APPROVE risk_score=32.5
2026-05-22T14:48:39.396173+00:00,RISK_SCORE,T000028,APPROVE risk_score=32.5
2026-05-22T14:48:39.396173+00:00,RISK_SCORE,T000029,REVIEW risk_score=46.03
2026-05-22T14:48:39.396173+00:00,RISK_SCORE,T000030,APPROVE risk_score=32.5
2026-05-22T14:48:39.396173+00:00,RISK_SCORE,T000031,APPROVE risk_score=32.5
2026-05-22T14:48:39.396173+00:00,RISK_SCORE,T000032,REVIEW risk_score=60.25
2026-05-22T14:48:39.396173+00:00,RISK_SCORE,T000033,REVIEW risk_score=60.25
2026-05-22T14:48:39.396173+00:00,RISK_SCORE,T000034,REVIEW risk_score=60.25
2026-05-22T14:48:39.396173+00:00,RISK_SCORE,T000035,REVIEW risk_score=60.25
2026-05-22T14:48:39.396173+00:00,RISK_SCORE,T000036,REVIEW risk_score=60.25
2026-05-22T14:48:39.396173+00:00,RISK_SCORE,T000037,REVIEW risk_score=60.25
2026-05-22T14:48:39.396173+00:00,RISK_SCORE,T000038,REVIEW risk_score=60.25
2026-05-22T14:48:39.396173+00:00,RISK_SCORE,T000039,REVIEW risk_score=60.25
2026-05-22T14:48:39.396173+00:00,RISK_SCORE,T000040,REVIEW risk_score=60.25
2026-05-22T14:48:39.396173+00:00,RISK_SCORE,T000041,BLOCK risk_score=74.16
2026-05-22T14:48:39.396173+00:00,RISK_SCORE,T000042,BLOCK risk_score=75.1
2026-05-22T14:48:39.396173+00:00,RISK_SCORE,T000043,BLOCK risk_score=78.93
2026-05-22T14:48:39.396173+00:00,RISK_SCORE,T000044,REVIEW risk_score=60.25
2026-05-22T14:48:39.396173+00:00,RISK_SCORE,T000045,BLOCK risk_score=74.46
2026-05-22T14:48:39.396173+00:00,RISK_SCORE,T000046,BLOCK risk_score=77.81
2026-05-22T14:48:39.396173+00:00,RISK_SCORE,T000047,BLOCK risk_score=75.94
2026-05-22T14:48:39.396173+00:00,RISK_SCORE,T000048,APPROVE risk_score=0.0
2026-05-22T14:48:39.396173+00:00,RISK_SCORE,T000049,APPROVE risk_score=0.0
2026-05-22T14:48:39.396173+00:00,RISK_SCORE,T000050,APPROVE risk_score=0.0
2026-05-22T14:48:39.396173+00:00,RISK_SCORE,T000051,APPROVE risk_score=0.0
2026-05-22T14:48:39.396173+00:00,RISK_SCORE,T000052,APPROVE risk_score=0.0
2026-05-22T14:48:39.396173+00:00,RISK_SCORE,T000053,APPROVE risk_score=0.0
2026-05-22T14:48:39.396173+00:00,RISK_SCORE,T000054,APPROVE risk_score=0.0
2026-05-22T14:48:39.396173+00:00,RISK_SCORE,T000055,APPROVE risk_score=0.0
2026-05-22T14:48:39.396173+00:00,RISK_SCORE,T000056,APPROVE risk_score=0.0
2026-05-22T14:48:39.396173+00:00,RISK_SCORE,T000057,APPROVE risk_score=0.0
2026-05-22T14:48:39.396173+00:00,RISK_SCORE,T000058,REVIEW risk_score=48.75
2026-05-22T14:48:39.396173+00:00,RISK_SCORE,T000059,APPROVE risk_score=21.25
2026-05-22T14:48:39.396173+00:00,RISK_SCORE,T000060,REVIEW risk_score=48.75
2026-05-22T14:48:39.396173+00:00,RISK_SCORE,T000061,REVIEW risk_score=48.75
2026-05-22T14:48:39.396173+00:00,RISK_SCORE,T000062,APPROVE risk_score=21.25
2026-05-22T14:48:39.396173+00:00,RISK_SCORE,T000063,REVIEW risk_score=63.17
2026-05-22T14:48:39.396173+00:00,RISK_SCORE,T000064,REVIEW risk_score=48.75
2026-05-22T14:48:39.396173+00:00,RISK_SCORE,T000065,APPROVE risk_score=21.25
2026-05-22T14:48:39.396173+00:00,RISK_SCORE,T000066,REVIEW risk_score=48.75
2026-05-22T14:48:39.396173+00:00,RISK_SCORE,T000067,REVIEW risk_score=48.75
2026-05-22T14:48:39.396173+00:00,RISK_SCORE,T000068,APPROVE risk_score=35.2
2026-05-22T14:48:39.396173+00:00,RISK_SCORE,T000069,REVIEW risk_score=48.75
2026-05-22T14:48:39.396173+00:00,RISK_SCORE,T000070,REVIEW risk_score=42.78
2026-05-22T14:48:39.396173+00:00,RISK_SCORE,T000071,REVIEW risk_score=42.48
2026-05-22T14:48:39.396173+00:00,RISK_SCORE,T000072,REVIEW risk_score=67.5
2026-05-22T14:48:39.396173+00:00,RISK_SCORE,T000073,REVIEW risk_score=67.5
2026-05-22T14:48:39.396173+00:00,RISK_SCORE,T000074,REVIEW risk_score=67.5
2026-05-22T14:48:39.396173+00:00,RISK_SCORE,T000075,APPROVE risk_score=27.5
2026-05-22T14:48:39.396173+00:00,RISK_SCORE,T000076,REVIEW risk_score=42.48
2026-05-22T14:48:39.396173+00:00,RISK_SCORE,T000077,APPROVE risk_score=27.5
2026-05-22T14:48:39.396173+00:00,RISK_SCORE,T000078,APPROVE risk_score=27.5
2026-05-22T14:48:39.396173+00:00,RISK_SCORE,T000079,REVIEW risk_score=46.28
2026-05-22T14:48:39.396173+00:00,RISK_SCORE,T000080,REVIEW risk_score=67.5
2026-05-22T14:48:39.396173+00:00,RISK_SCORE,T000081,REVIEW risk_score=59.4
2026-05-22T14:48:39.396173+00:00,RISK_SCORE,T000082,REVIEW risk_score=60.84
2026-05-22T14:48:39.396173+00:00,RISK_SCORE,T000083,REVIEW risk_score=64.89
2026-05-22T14:48:39.396173+00:00,RISK_SCORE,T000084,REVIEW risk_score=63.31
2026-05-22T14:48:39.396173+00:00,RISK_SCORE,T000085,REVIEW risk_score=58.73
2026-05-22T14:48:39.396173+00:00,RISK_SCORE,T000086,REVIEW risk_score=63.42
2026-05-22T14:48:39.396173+00:00,RISK_SCORE,T000087,REVIEW risk_score=59.33
2026-05-22T14:48:39.396173+00:00,RISK_SCORE,T000088,REVIEW risk_score=65.41
2026-05-22T14:48:39.396173+00:00,RISK_SCORE,T000089,REVIEW risk_score=67.5
2026-05-22T14:48:39.396173+00:00,RISK_SCORE,T000090,APPROVE risk_score=0.0
2026-05-22T14:48:39.396173+00:00,RISK_SCORE,T000091,APPROVE risk_score=0.0
2026-05-22T14:48:39.396173+00:00,RISK_SCORE,T000092,APPROVE risk_score=0.0
2026-05-22T14:48:39.396173+00:00,RISK_SCORE,T000093,APPROVE risk_score=0.0
2026-05-22T14:48:39.396173+00:00,RISK_SCORE,T000094,APPROVE risk_score=0.0
2026-05-22T14:48:39.396173+00:00,RISK_SCORE,T000095,APPROVE risk_score=0.0
2026-05-22T14:48:39.396173+00:00,RISK_SCORE,T000096,APPROVE risk_score=0.0
2026-05-22T14:48:39.396173+00:00,RISK_SCORE,T000097,APPROVE risk_score=0.0
2026-05-22T14:48:39.396173+00:00,RISK_SCORE,T000098,APPROVE risk_score=0.0
2026-05-22T14:48:39.396173+00:00,RISK_SCORE,T000099,APPROVE risk_score=0.0
2026-05-22T14:48:39.396173+00:00,RISK_SCORE,T000100,APPROVE risk_score=0.0
2026-05-22T14:48:39.396173+00:00,RISK_SCORE,T000101,APPROVE risk_score=0.0
2026-05-22T14:48:39.396173+00:00,RISK_SCORE,T000102,APPROVE risk_score=0.0
2026-05-22T14:48:39.396173+00:00,RISK_SCORE,T000103,APPROVE risk_score=0.0
2026-05-22T14:48:39.396173+00:00,RISK_SCORE,T000104,APPROVE risk_score=0.0
